abs_ssc,name,state,area
10349,Bilbul,New South Wales,78.62
10350,Bilgola Beach,New South Wales,0.35
10351,Bilgola Plateau,New South Wales,1.39
10352,Billeroy,New South Wales,405.94
10353,Billilingra,New South Wales,64.82
10354,Billimari,New South Wales,64.39
10355,Billinudgel,New South Wales,8.55
10356,Billys Creek,New South Wales,80.05
10357,Billywillinga,New South Wales,51.56
10358,Bilpin,New South Wales,179.91
10359,Bimberi,New South Wales,213.20
10360,Bimbi,New South Wales,197.35
10361,Bimbimbie,New South Wales,9.08
10362,Binalong,New South Wales,281.31
10363,Binda,New South Wales,377.93
10364,Bindera,New South Wales,44.85
10365,Bingara,New South Wales,269.39
10366,Bingeebeebra Creek,New South Wales,24.50
10367,Bingie,New South Wales,10.45
10368,Bingleburra,New South Wales,68.73
10369,Biniguy,New South Wales,308.80
10370,Binjura,New South Wales,23.65
10371,Binna Burra (NSW),New South Wales,11.40
10372,Binnaway,New South Wales,476.32
10373,Binya,New South Wales,694.87
10374,Birchgrove,New South Wales,0.59
10375,Birdwood (NSW),New South Wales,80.84
10376,Birganbigil,New South Wales,92.71
10377,Birmingham Gardens,New South Wales,0.79
10378,Birriwa,New South Wales,77.18
10379,Birrong,New South Wales,1.20
10380,Bishops Bridge,New South Wales,16.21
10381,Bithramere,New South Wales,70.00
10382,Black Creek (Port Macquarie-Hastings - NSW),New South Wales,55.39
10383,Black Creek (Snowy Valleys - NSW),New South Wales,10.98
10384,Black Head,New South Wales,3.06
10385,Black Hill (NSW),New South Wales,45.71
10386,Black Hollow,New South Wales,145.49
10387,Black Mountain (NSW),New South Wales,222.53
10388,Black Range (NSW),New South Wales,13.30
10389,Black Springs (NSW),New South Wales,173.64
10390,Blackalls Park,New South Wales,3.04
10391,Blackbutt (NSW),New South Wales,2.58
10392,Blackett,New South Wales,1.06
10393,Blackheath,New South Wales,32.58
10394,Blackmans Flat,New South Wales,32.97
10395,Blackmans Point,New South Wales,12.18
10396,Blacksmiths,New South Wales,1.95
10397,Blacktown,New South Wales,16.06
10398,Blackville,New South Wales,278.82
10399,Blackwall (NSW),New South Wales,1.14
10400,Blair Athol (NSW),New South Wales,0.90
10401,Blairmount,New South Wales,2.93
10402,Blakebrook,New South Wales,15.64
10403,Blakehurst,New South Wales,2.31
10404,Blakney Creek,New South Wales,181.68
10405,Bland,New South Wales,306.77
10406,Blandford,New South Wales,94.94
10407,Blaxland (NSW),New South Wales,9.71
10408,Blaxlands Creek,New South Wales,107.11
10409,Blaxlands Ridge,New South Wales,41.22
10410,Blayney,New South Wales,184.11
10411,Bligh Park,New South Wales,2.12
10412,Blighty,New South Wales,222.13
10413,Blowering,New South Wales,166.32
10414,Blue Bay,New South Wales,0.47
10415,Blue Haven,New South Wales,2.52
10416,Blue Knob,New South Wales,19.84
10417,Blue Mountains National Park,New South Wales,2350.66
10418,Blue Nobby,New South Wales,199.84
10419,Blue Vale,New South Wales,204.37
10420,Blueys Beach,New South Wales,2.81
10421,Boambee,New South Wales,12.93
10422,Boambee East,New South Wales,3.66
10423,Boambolo,New South Wales,90.21
10424,Boat Harbour (Lismore - NSW),New South Wales,7.16
10425,Boat Harbour (Port Stephens - NSW),New South Wales,2.16
10426,Bobadah,New South Wales,1365.13
10427,Bobin,New South Wales,52.27
10428,Bobs Creek,New South Wales,11.10
10429,Bobs Farm,New South Wales,38.26
10430,Bobundara,New South Wales,128.92
10431,Boco,New South Wales,87.96
10432,Bocoble,New South Wales,26.95
10433,Bocobra,New South Wales,101.10
10434,Bodalla,New South Wales,253.75
10435,Bodangora,New South Wales,155.57
10436,Boeill Creek,New South Wales,21.78
10437,Bogan,New South Wales,476.51
10438,Bogan Gate,New South Wales,445.63
10439,Bogangar,New South Wales,6.74
10440,Bogee,New South Wales,109.84
10441,Boggabilla,New South Wales,1342.67
10442,Boggabri,New South Wales,858.49
10443,Bogong Peaks Wilderness,New South Wales,255.90
10444,Bohena Creek,New South Wales,197.29
10445,Bohnock,New South Wales,1.12
10446,Bolaro,New South Wales,127.86
10447,Bolivia,New South Wales,290.06
10448,Bolong,New South Wales,16.41
10449,Bolton Point,New South Wales,1.68
10450,Bolwarra (NSW),New South Wales,4.47
10451,Bolwarra Heights,New South Wales,7.23
10452,Bom Bom,New South Wales,24.20
10453,Bomaderry,New South Wales,7.45
10454,Bombah Point,New South Wales,54.35
10455,Bombala,New South Wales,119.71
10456,Bombay,New South Wales,159.65
10457,Bombira,New South Wales,7.05
10458,Bombo,New South Wales,1.80
10459,Bombowlee,New South Wales,27.92
10460,Bombowlee Creek,New South Wales,21.37
10461,Bomen,New South Wales,27.37
10462,Bomera,New South Wales,339.02
10463,Bonalbo,New South Wales,85.86
10464,Bondi,New South Wales,0.86
10465,Bondi Beach,New South Wales,1.22
10466,Bondi Forest,New South Wales,161.59
10467,Bondi Junction,New South Wales,1.08
10468,Bonnells Bay,New South Wales,3.28
10469,Bonnet Bay,New South Wales,1.13
10470,Bonny Hills,New South Wales,20.75
10471,Bonnyrigg,New South Wales,3.04
10472,Bonnyrigg Heights,New South Wales,2.15
10473,Bonshaw (NSW),New South Wales,431.23
10474,Bonville,New South Wales,68.89
10475,Booerie Creek,New South Wales,12.73
10476,Book Book,New South Wales,158.82
10477,Booker Bay,New South Wales,0.49
10478,Bookham,New South Wales,210.29
10479,Bookookoorara,New South Wales,169.66
10480,Bookram,New South Wales,66.03
10481,Boolambayte,New South Wales,89.89
10482,Boolaroo,New South Wales,2.71
10483,Boolcarroll,New South Wales,141.65
10484,Booligal,New South Wales,4519.35
10485,Boolijah,New South Wales,109.71
10486,Boomanoomana,New South Wales,246.50
10487,Boomerang Beach,New South Wales,1.95
10488,Boomey,New South Wales,92.54
10489,Boomi,New South Wales,1086.62
10490,Boomi Creek,New South Wales,80.66
10491,Boona Mount,New South Wales,394.69
10492,Boonal,New South Wales,266.30
10493,Boonoo Boonoo,New South Wales,268.79
10494,Boorabee Park,New South Wales,42.75
10495,Booragul,New South Wales,1.24
10496,Booral (NSW),New South Wales,140.65
10497,Boorga,New South Wales,253.18
10498,Boorganna,New South Wales,51.96
10499,Boorolong,New South Wales,271.14
10500,Boorook,New South Wales,433.96
10501,Boorooma,New South Wales,1.50
10502,Booroorban,New South Wales,1294.41
10503,Boorowa,New South Wales,754.78
10504,Bootawa,New South Wales,27.20
10505,Booti Booti,New South Wales,2.55
10506,Booyong,New South Wales,9.30
10507,Bora Ridge,New South Wales,79.74
10508,Borah Creek,New South Wales,135.91
10509,Borambola,New South Wales,147.23
10510,Border Ranges,New South Wales,94.24
10511,Boree,New South Wales,47.51
10512,Boree Creek,New South Wales,752.99
10513,Borenore,New South Wales,88.16
10514,Boro,New South Wales,60.70
10515,Bossley Park,New South Wales,4.54
10516,Bostobrick,New South Wales,66.03
10517,Botany,New South Wales,3.21
10518,Botobolar,New South Wales,96.61
10519,Bottle Creek,New South Wales,25.76
10520,Bouddi,New South Wales,6.98
10521,Bourbah,New South Wales,436.70
10522,Bourke,New South Wales,3882.79
10523,Bourkelands,New South Wales,2.10
10524,Bournda,New South Wales,82.44
10525,Bournewood,New South Wales,116.05
10526,Bow Bowing,New South Wales,0.76
10527,Bowan Park,New South Wales,64.19
10528,Bowen Mountain,New South Wales,20.02
10529,Bowenfels,New South Wales,21.83
10530,Bowling Alley Point,New South Wales,36.64
10531,Bowman,New South Wales,60.45
10532,Bowman Farm,New South Wales,46.56
