school_id,name,suburb,state,postcode,sector,school_type,lat,lng
43828,St John's Lutheran Primary School,Jindera,NSW,2642,Independent,Primary,-35.95709,146.881683
43829,St Hurmizd Assyrian Primary School,Greenfield Park,NSW,2176,Independent,Primary,-33.870607,150.892419
43830,Manning Valley Anglican College,Cundletown,NSW,2430,Independent,Combined,-31.903878,152.523054
43831,Charlton Christian College,Fassifern,NSW,2283,Independent,Combined,-32.989878,151.583225
43832,Chrysalis School for Rudolf Steiner Education,Thora,NSW,2454,Independent,Combined,-30.43347,152.721978
43833,Byron Community Primary School,Byron Bay,NSW,2481,Independent,Primary,-28.647831,153.615323
43835,Nowra Anglican College,Bomaderry,NSW,2541,Independent,Combined,-34.857265,150.599905
43836,The Hills Grammar School,Kenthurst,NSW,2156,Independent,Combined,-33.685772,151.013035
43838,Barker College,Hornsby,NSW,2077,Independent,Combined,-33.709245,151.099056
43839,Kesser Torah College,Dover Heights,NSW,2030,Independent,Combined,-33.87225,151.282579
43840,Tara Anglican School for Girls,North Parramatta,NSW,2151,Independent,Combined,-33.78892051,151.0166561
43841,St Andrew's Cathedral School,Sydney,NSW,2001,Independent,Combined,-33.87384238,151.2055188
43842,The Armidale School,Armidale,NSW,2350,Independent,Combined,-30.519975,151.673195
43843,Thomas Hassall Anglican College,Middleton Grange,NSW,2171,Independent,Combined,-33.918729,150.839747
43844,Kinross Wolaroi School,Orange,NSW,2800,Independent,Combined,-33.290963,149.11314
43845,Avondale School,Cooranbong,NSW,2265,Independent,Combined,-33.063236,151.464659
43846,Pymble Ladies' College,Pymble,NSW,2073,Independent,Combined,-33.747306,151.134137
43847,Macquarie College,Wallsend,NSW,2287,Independent,Combined,-32.922273,151.652731
43848,Christadelphian Heritage College Sydney,Kemps Creek,NSW,2178,Independent,Combined,-33.8842,150.791
43849,The Scots School,Bathurst,NSW,2795,Independent,Combined,-33.431184,149.616329
43850,Newington College - Lindfield Preparatory School,Lindfield,NSW,2070,Independent,Combined,-33.769351,151.172576
43851,Snowy Mountains Grammar School,Jindabyne,NSW,2627,Independent,Combined,-36.41506861,148.6089615
43852,Al Amanah College - Bankstown campus,Bankstown,NSW,2200,Independent,Combined,-33.917207,151.028444
43854,Redeemer Baptist School,North Parramatta,NSW,2151,Independent,Combined,-33.793639,151.017344
43855,Newcastle Grammar School,The Hill,NSW,2300,Independent,Combined,-32.929914,151.780162
43856,Northside Montessori School (Pymble Campus),Pymble,NSW,2073,Independent,Primary,-33.734921,151.136895
43857,Southside Montessori School,Riverwood,NSW,2210,Independent,Primary,-33.952384,151.044309
43858,St Spyridon College,Maroubra,NSW,2035,Independent,Combined,-33.955014,151.244024
43859,Masada College,St Ives,NSW,2075,Independent,Combined,-33.729757,151.166914
43860,Toongabbie Christian School,Toongabbie,NSW,2146,Independent,Combined,-33.789371,150.943398
43861,Northholm Grammar School,Arcadia,NSW,2159,Independent,Combined,-33.603295,151.055174
43862,Coffs Harbour Christian Community School - Junior Campus,Coffs Harbour,NSW,2450,Independent,Combined,-30.299792,153.120744
43863,Roseville College,Roseville,NSW,2069,Independent,Combined,-33.78517,151.179521
43864,Mount Annan Christian College,Mount Annan,NSW,2567,Independent,Combined,-34.053009,150.774906
43865,Carinya Christian School Gunnedah,Gunnedah,NSW,2380,Independent,Primary,-30.978876,150.25474
43866,Carinya Christian School Tamworth,Tamworth,NSW,2340,Independent,Combined,-31.128839,150.94033
43867,St Bishoy Coptic Orthodox College,Mount Druitt,NSW,2770,Independent,Combined,-33.762609,150.828892
43868,Wenona School,North Sydney,NSW,2060,Independent,Combined,-33.834101,151.209609
43869,Forestville Montessori School,Forestville,NSW,2087,Independent,Primary,-33.75833998,151.2189026
43871,Gib Gate School,Mittagong,NSW,2575,Independent,Primary,-34.45422474,150.4284139
43872,Claremont College,Randwick,NSW,2031,Independent,Primary,-33.918409,151.244452
43873,Cedars Christian College,Farmborough Heights,NSW,2526,Independent,Combined,-34.45548412,150.8288224
43874,Georges River Grammar,Georges Hall,NSW,2198,Independent,Combined,-33.913414,150.982666
43875,SCECGS Redlands,Cremorne,NSW,2090,Independent,Combined,-33.832193,151.227263
43876,Central Coast Adventist School,Erina,NSW,2250,Independent,Combined,-33.43634,151.38973
43877,Newington College,Stanmore,NSW,2048,Independent,Combined,-33.897706,151.162913
43878,SHORE - Sydney Church of England Grammar School,North Sydney,NSW,2060,Independent,Combined,-33.839913,151.204871
43879,Sapphire Coast Anglican College,Bega,NSW,2550,Independent,Combined,-36.701219,149.838623
43880,New England Girls' School,Armidale,NSW,2350,Independent,Combined,-30.519325,151.639774
43883,The King's School,North Parramatta,NSW,2151,Independent,Combined,-33.78855336,151.0261186
43884,Knox Grammar Preparatory School,Wahroonga,NSW,2076,Independent,Combined,-33.718483,151.120906
43885,Clarence Valley Anglican School - Grafton Campus,Grafton,NSW,2460,Independent,Combined,-29.69374287,152.9341792
43886,All Saints' College Bathurst,Bathurst,NSW,2795,Independent,Combined,-33.399074,149.564889
43887,St Columba Anglican School,Port Macquarie,NSW,2444,Independent,Combined,-31.463202,152.878339
43889,St Philip's Christian College - Port Stephens,Salamander Bay,NSW,2317,Independent,Combined,-32.7383,152.11
43890,Oxley College,Burradoo,NSW,2576,Independent,Combined,-34.498077,150.392007
43891,William Clarke College,Kellyville,NSW,2155,Independent,Combined,-33.71208576,150.9755581
43892,Wollondilly Anglican College,Tahmoor,NSW,2573,Independent,Combined,-34.227867,150.590659
43893,Brightwaters Christian College,Brightwaters,NSW,2264,Independent,Primary,-33.113173,151.543185
43894,Nepean Christian School,Mulgoa,NSW,2745,Independent,Combined,-33.829562,150.655171
43895,Sydney Grammar School - Edgecliff Preparatory School,Paddington,NSW,2021,Independent,Combined,-33.879802,151.229715
43896,Northcross Christian School,Ryde,NSW,2112,Independent,Primary,-33.8056,151.111
43897,Mountain View Adventist College,Doonside,NSW,2767,Independent,Combined,-33.767122,150.87024
43898,Medowie Christian School,Medowie,NSW,2318,Independent,Combined,-32.73755,151.849704
43899,Italian Bilingual School,Meadowbank,NSW,2114,Independent,Primary,-33.88636398,151.1578064
43900,Korowal School,Hazelbrook,NSW,2779,Independent,Combined,-33.711046,150.350184
43901,Shellharbour Anglican College,Dunmore,NSW,2529,Independent,Combined,-34.594,150.848
43902,M.E.T. School - Goulburn campus,Goulburn,NSW,2580,Independent,Combined,-34.723532,149.744217
43903,Richmond Christian College,Ballina,NSW,2478,Independent,Combined,-28.84778,153.545439
43904,Trinity Anglican College - Albury,Thurgoona,NSW,2640,Independent,Combined,-36.03866,146.983833
43905,Tambelin Independent School,Goulburn,NSW,2580,Independent,Primary,-34.749518,149.726329
43907,M.E.T. School - Albury campus,Albury,NSW,2640,Independent,Combined,-36.037108,146.911435
43908,M.E.T. School - Orange campus,Orange East,NSW,2800,Independent,Combined,-33.27701,149.107076
43909,M.E.T. School - Kellyville campus,Kellyville,NSW,2155,Independent,Combined,-33.713797,150.961134
43910,M.E.T. School - Mount Victoria campus,Mount Victoria,NSW,2786,Independent,Combined,-33.588923,150.252743
43911,M.E.T. School - Illawarra campus,Darkes Forest,NSW,2508,Independent,Combined,-34.245449,150.942529
43913,Meriden School,Strathfield,NSW,2135,Independent,Combined,-33.874605,151.088359
43914,Danebank - An Anglican School For Girls,Hurstville,NSW,2220,Independent,Combined,-33.961212,151.1018
43915,Frensham School,Mittagong,NSW,2575,Independent,Secondary,-34.45450177,150.451629
43916,Warrah School,Dural,NSW,2158,Independent,Special,-33.702973,151.036467
43917,St Paul's Lutheran Primary School,Henty,NSW,2658,Independent,Primary,-35.517777,147.031188
43918,Yanginanook School,Belrose,NSW,2085,Independent,Primary,-33.712408,151.214472
43919,Al Amanah College,Liverpool,NSW,2170,Independent,Combined,-33.928986,150.92205
43920,Kambala,Rose Bay,NSW,2029,Independent,Combined,-33.865613,151.272108
43921,Port Macquarie Adventist School,Port Macquarie,NSW,2444,Independent,Primary,-31.467474,152.899395
43922,Montessori East,Bondi,NSW,2026,Independent,Primary,-33.893029,151.263958
43923,The Scots School Albury,Albury,NSW,2640,Independent,Combined,-36.07289,146.9272
43924,Southern Highlands Christian School,Bowral,NSW,2576,Independent,Combined,-34.50366228,150.4400379
43925,Amity College Illawarra Campus,Shellharbour,NSW,2529,Independent,Combined,-34.573432,150.864045
43926,St Euphemia College,Bankstown,NSW,2200,Independent,Combined,-33.918731,151.039108
43927,Aspect South East Sydney School,Peakhurst,NSW,2210,Independent,Special,-33.972317,151.056106
43928,St George Christian School,Hurstville,NSW,2220,Independent,Combined,-33.972286,151.11109
43929,William Carey Christian School,Prestons,NSW,2170,Independent,Combined,-33.948963,150.850812
43930,St Peter's Anglican Primary School,Campbelltown,NSW,2560,Independent,Primary,-34.06686,150.817798
43931,St Philip's Christian College - Waratah,Waratah,NSW,2298,Independent,Combined,-32.904159,151.722942
43932,Sydney Grammar School - St Ives Preparatory School,St Ives,NSW,2075,Independent,Combined,-33.718123,151.17078
43933,Tangara School for Girls - Retaval Infants School campus - Wahroonga,Wahroonga,NSW,2076,Independent,Combined,-33.730365,151.106891
43934,International Grammar School,Ultimo,NSW,2007,Independent,Combined,-33.881668,151.195266
43935,Wyong Christian Community School,Wyong,NSW,2259,Independent,Combined,-33.277464,151.415148
43936,Macarthur Adventist College,Macquarie Fields,NSW,2564,Independent,Combined,-33.98353,150.885188
43937,Australian Islamic College of Sydney,Mount Druitt,NSW,2770,Independent,Combined,-33.758986,150.829827
43938,Penrith Anglican College,Orchard Hills,NSW,2748,Independent,Combined,-33.783377,150.720781
43939,Ravenswood School for Girls,Gordon,NSW,2072,Independent,Combined,-33.76,151.156
43940,Australian International Academy - Sydney - Strathfield Campus,Strathfield,NSW,2135,Independent,Combined,-33.891742,151.089845
43941,SCEGGS Darlinghurst,Darlinghurst,NSW,2010,Independent,Combined,-33.87599,151.218826
43942,Toronto Adventist Primary School,Toronto,NSW,2283,Independent,Primary,-33.028602,151.565397
43943,Arkana College,Kingsgrove,NSW,2208,Independent,Primary,-33.949857,151.098776
43944,The Illawarra Grammar School,Wollongong West,NSW,2500,Independent,Combined,-34.428141,150.870765
43945,Central Coast Grammar School,Erina Heights,NSW,2260,Independent,Combined,-33.425697,151.398547
43946,Al Zahra College,Arncliffe,NSW,2205,Independent,Combined,-33.933688,151.148249
43947,Wycliffe Christian School,Warrimoo,NSW,2774,Independent,Combined,-33.720683,150.615343
43948,Lutheran School Wagga Wagga,Wagga Wagga,NSW,2650,Independent,Primary,-35.156969,147.360218
43949,Macarthur Anglican School,Cobbitty,NSW,2570,Independent,Combined,-34.0137702,150.7194413
43950,Rissalah College,Lakemba,NSW,2195,Independent,Primary,-33.926146,151.081592
43951,Heritage College Lake Macquarie,Morisset,NSW,2264,Independent,Combined,-33.076659,151.431132
43952,Al-Faisal College,Auburn,NSW,2144,Independent,Combined,-33.854755,151.031559
43953,Ascham School,Edgecliff,NSW,2027,Independent,Combined,-33.878713,151.236943
43954,St Peter's Anglican College - Broulee,Broulee,NSW,2537,Independent,Combined,-35.843981,150.170016
