abs_ssc,name,state,area
"SSC10377",Birmingham Gardens,New South Wales,0.79
"SSC10378",Birriwa,New South Wales,77.18
"SSC10379",Birrong,New South Wales,1.20
"SSC10380",Bishops Bridge,New South Wales,16.21
"SSC10381",Bithramere,New South Wales,70.00
"SSC10382",Black Creek (Port Macquarie-Hastings - NSW),New South Wales,55.39
"SSC10383",Black Creek (Snowy Valleys - NSW),New South Wales,10.98
"SSC10384",Black Head,New South Wales,3.06
"SSC10385",Black Hill,New South Wales,45.71
"SSC10386",Black Hollow,New South Wales,145.49
"SSC10387",Black Mountain,New South Wales,222.53
"SSC10388",Black Range,New South Wales,13.30
"SSC10389",Black Springs,New South Wales,173.64
"SSC10390",Blackalls Park,New South Wales,3.04
"SSC10391",Blackbutt,New South Wales,2.58
"SSC10392",Blackett,New South Wales,1.06
"SSC10393",Blackheath,New South Wales,32.58
"SSC10394",Blackmans Flat,New South Wales,32.97
"SSC10395",Blackmans Point,New South Wales,12.18
"SSC10396",Blacksmiths,New South Wales,1.95
"SSC10397",Blacktown,New South Wales,16.06
"SSC10398",Blackville,New South Wales,278.82
"SSC10399",Blackwall,New South Wales,1.14
"SSC10400",Blair Athol,New South Wales,0.90
"SSC10401",Blairmount,New South Wales,2.93
"SSC10402",Blakebrook,New South Wales,15.64
"SSC10403",Blakehurst,New South Wales,2.31
"SSC10404",Blakney Creek,New South Wales,181.68
"SSC10405",Bland,New South Wales,306.77
"SSC10406",Blandford,New South Wales,94.94
"SSC10407",Blaxland,New South Wales,9.71
"SSC10408",Blaxlands Creek,New South Wales,107.11
"SSC10409",Blaxlands Ridge,New South Wales,41.22
"SSC10410",Blayney,New South Wales,184.11
"SSC10411",Bligh Park,New South Wales,2.12
"SSC10412",Blighty,New South Wales,222.13
"SSC10413",Blowering,New South Wales,166.32
"SSC10414",Blue Bay,New South Wales,0.47
"SSC10415",Blue Haven,New South Wales,2.52
"SSC10416",Blue Knob,New South Wales,19.84
"SSC10417",Blue Mountains National Park,New South Wales,2350.66
"SSC10418",Blue Nobby,New South Wales,199.84
"SSC10419",Blue Vale,New South Wales,204.37
"SSC10420",Blueys Beach,New South Wales,2.81
"SSC10421",Boambee,New South Wales,12.93
"SSC10422",Boambee East,New South Wales,3.66
"SSC10423",Boambolo,New South Wales,90.21
"SSC10424",Boat Harbour (Lismore - NSW),New South Wales,7.16
"SSC10425",Boat Harbour (Port Stephens - NSW),New South Wales,2.16
"SSC10426",Bobadah,New South Wales,1365.13
"SSC10427",Bobin,New South Wales,52.27
"SSC10428",Bobs Creek,New South Wales,11.10
"SSC10429",Bobs Farm,New South Wales,38.26
"SSC10430",Bobundara,New South Wales,128.92
"SSC10431",Boco,New South Wales,87.96
"SSC10432",Bocoble,New South Wales,26.95
"SSC10433",Bocobra,New South Wales,101.10
"SSC10434",Bodalla,New South Wales,253.75
"SSC10435",Bodangora,New South Wales,155.57
