school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
43013,Mudgee Public School,Mudgee,NSW,2850,Government,Primary,http://www.mudgeepublic.com.au,"U, K-6",40.5,9.3,686,327,359
43014,Mullion Creek Public School,Mullion Creek,NSW,2800,Government,Primary,http://www.mullionck-p.schools.nsw.edu.au,K-6,3.6,1.9,55,22,33
43015,Clergate Public School,Clergate,NSW,2800,Government,Primary,http://www.clergate-p.schools.nsw.edu.au,K-6,4.7,1.7,103,53,50
43016,Mumbil Public School,Mumbil,NSW,2820,Government,Primary,http://www.mumbil-p.schools.nsw.edu.au,K-6,1.5,0.9,15,5,10
43017,Narromine Public School,Narromine,NSW,2821,Government,Primary,http://www.narromine-p.schools.nsw.edu.au,"U, K-6",20,6,298,149,149
43018,Nashdale Public School,Nashdale,NSW,2800,Government,Primary,http://www.nashdale-p.schools.nsw.edu.au,K-6,5.8,1.7,119,51,68
43019,Neville Public School,Neville,NSW,2799,Government,Primary,http://www.neville-p.schools.nsw.edu.au,K-6,1.3,1,19,10,9
43020,Nyngan Public School,Nyngan,NSW,2825,Government,Primary,http://www.nyngan-p.schools.nsw.edu.au,K-6,10.9,2.9,130,66,64
43021,Oberon Public School,Oberon,NSW,2787,Government,Primary,http://www.oberon-p.schools.nsw.edu.au/,K-6,14.3,2.5,242,104,138
43022,O'Connell Public School,O'Connell,NSW,2795,Government,Primary,http://www.oconnell-p.schools.nsw.edu.au,K-6,4.7,1.5,79,44,35
43023,Orange East Public School,Orange,NSW,2800,Government,Primary,http://www.orangeeast-p.schools.nsw.edu.au,K-6,15.2,2.5,265,123,142
43024,Parkes Public School,Parkes,NSW,2870,Government,Primary,http://www.parkes-p.schools.nsw.edu.au,"U, K-6",27.6,8.7,418,197,221
43025,Peak Hill Central School,Peak Hill,NSW,2869,Government,Combined,http://www.peakhill-c.schools.nsw.edu.au,K-12,16,6.4,136,62,74
43026,Perthville Public School,Perthville,NSW,2795,Government,Primary,http://www.perthville-p.schools.nsw.edu.au/,K-6,8.1,1.7,135,62,73
43027,Pomona Public School,Pomona,NSW,2648,Government,Primary,http://www.pomona-p.schools.nsw.edu.au,K-6,1.9,0.9,26,12,14
43029,Portland Central School,Portland,NSW,2847,Government,Combined,http://www.portland-c.schools.nsw.edu.au,"U, K-12",18.6,6.9,146,65,81
43030,Quambone Public School,Quambone,NSW,2831,Government,Primary,http://www.quambone-p.schools.nsw.edu.au,K-6,1.4,1,14,8,6
43031,Quandialla Public School,Quandialla,NSW,2721,Government,Primary,http://www.quandialla-c.schools.nsw.edu.au,K-6,2.4,1,26,14,12
43032,Raglan Public School,Raglan,NSW,2795,Government,Primary,http://www.raglan-p.schools.nsw.edu.au/,K-6,15,2.6,273,134,139
43033,Rockley Public School,Rockley,NSW,2795,Government,Primary,http://www.rockley-p.schools.nsw.edu.au,K-6,1.3,0.9,21,11,10
43034,Rylstone Public School,Rylstone,NSW,2849,Government,Primary,http://www.rylstone-p.schools.nsw.edu.au,K-6,4.9,1.5,86,38,48
43035,Spring Hill Public School,Spring Hill,NSW,2800,Government,Primary,http://www.springhill-p.schools.nsw.edu.au,K-6,2.5,0.9,38,18,20
43036,Spring Terrace Public School,Spring Terrace,NSW,2798,Government,Primary,http://www.springterr-p.schools.nsw.edu.au,K-6,2.5,0.7,26,11,15
43037,Stuart Town Public School,Stuart Town,NSW,2820,Government,Primary,http://www.stuarttown-p.schools.nsw.edu.au,K-6,1.4,0.9,10,4,6
43038,Tibooburra Outback Public School,Tibooburra,NSW,2880,Government,Primary,http://www.tibooburra-d.schools.nsw.edu.au,K-6,1.3,1.2,5,2,3
43039,Tooraweenah Public School,Tooraweenah,NSW,2817,Government,Primary,http://www.tooraweena-p.schools.nsw.edu.au,K-6,1.7,0.7,12,9,3
43040,Tottenham Central School,Tottenham,NSW,2873,Government,Combined,http://www.tottenham-c.schools.nsw.edu.au,K-12,10.2,4,88,46,42
43041,Trangie Central School,Trangie,NSW,2823,Government,Combined,http://www.trangie-c.schools.nsw.edu.au,K-12,24.2,7.6,227,125,102
